,INDEX,TARGET_FLAG,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
10,14,1,0,53.0,0,14.0,53.0,45.84457933370977,43.55148658448151,43.833486378940925,44.2608,47.32689987937274,48.25988023952096,15,45.011106780982075,57.5,1,45.33847850055127,44.678021787999306,45.0592932721102,0,44.91439743052646,0,11.0,45.01494146642021
11,15,0,0,43.0,0,5.0,43.0,45.84457933370977,43.0,45.42930118512464,44.2608,47.32689987937274,45.56938227394807,36,45.011106780982075,43.5,7,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,0,1.0,43.91731575793889
12,16,0,0,55.0,0,11.0,55.0,45.84457933370977,55.0,45.42930118512464,45.402535657686215,44.589652096342554,46.86538461538461,25,44.41663915483658,46.2,7,45.352,45.063919259882255,55.0,2,43.903,3,9.0,45.01494146642021
13,17,1,0,53.0,0,11.0,53.0,45.84457933370977,43.55148658448151,43.833486378940925,45.402535657686215,49.012362637362635,44.37430880476393,64,44.41663915483658,53.0,6,46.2707100591716,45.063919259882255,45.0592932721102,0,44.91439743052646,3,10.0,45.01494146642021
14,19,1,0,45.0,0,0.0,43.79056603773585,45.84457933370977,45.0,45.42930118512464,44.2608,42.19285120532003,44.834633385335415,48,45.011106780982075,44.705882352941174,1,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,3,5.0,45.01494146642021
15,20,0,0,39.0,3,12.0,39.0,37.85701021355617,39.0,43.833486378940925,44.2608,44.589652096342554,41.798583792289534,43,45.011106780982075,36.0,6,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,0,13.0,43.91731575793889
16,22,0,0,42.0,0,11.0,42.0,45.84457933370977,42.0,45.42930118512464,45.402535657686215,47.32689987937274,48.25988023952096,42,45.011106780982075,44.5,6,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,0,16.0,45.01494146642021
17,23,0,0,34.0,3,13.0,34.0,45.84457933370977,34.0,45.42930118512464,44.2608,47.32689987937274,48.25988023952096,27,45.011106780982075,50.666666666666664,7,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,0,20.0,45.01494146642021
18,24,0,0,31.0,2,12.0,31.0,45.84457933370977,31.0,45.42930118512464,44.2608,42.19285120532003,41.798583792289534,48,45.011106780982075,38.0,4,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,0,7.0,45.01494146642021
19,25,1,0,28.0,1,13.0,28.0,45.84457933370977,28.0,45.42930118512464,44.2608,43.20085836909871,44.37430880476393,29,44.41663915483658,37.0,6,44.204010462074976,44.678021787999306,36.5,2,44.91439743052646,0,1.0,45.01494146642021
20,26,1,0,43.0,0,13.0,43.0,45.84457933370977,43.55148658448151,45.42930118512464,45.402535657686215,42.19285120532003,44.37430880476393,52,44.41663915483658,46.5,1,46.2707100591716,45.063919259882255,45.0592932721102,0,44.91439743052646,3,1.0,45.01494146642021
21,27,0,0,48.0,0,14.0,48.0,45.84457933370977,48.0,45.42930118512464,44.2608,47.32689987937274,48.25988023952096,36,45.011106780982075,51.2,6,44.204010462074976,44.678021787999306,48.0,1,44.91439743052646,5,14.0,45.01494146642021
22,28,0,0,47.0,0,11.0,47.0,45.84457933370977,43.55148658448151,43.833486378940925,44.2608,42.19285120532003,44.37430880476393,29,45.011106780982075,41.75,10,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,1,5.0,45.01494146642021
23,29,0,2,44.0,2,0.0,43.79056603773585,45.84457933370977,44.0,45.42930118512464,44.2608,43.20085836909871,44.834633385335415,8,45.011106780982075,44.06666666666667,6,44.204010462074976,44.678021787999306,53.333333333333336,3,44.91439743052646,0,11.0,45.01494146642021
24,32,0,0,33.0,1,13.0,33.0,45.84457933370977,33.0,45.42930118512464,44.2608,44.589652096342554,45.56938227394807,27,45.011106780982075,44.0,9,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,2,15.0,43.91731575793889
25,33,1,0,32.0,1,9.0,32.0,45.84457933370977,32.0,45.42930118512464,44.2608,43.20085836909871,41.798583792289534,26,45.011106780982075,46.0,1,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,0,1.0,45.01494146642021
26,34,0,1,44.0,2,17.0,44.0,45.84457933370977,44.0,45.42930118512464,45.402535657686215,44.589652096342554,46.86538461538461,16,45.011106780982075,38.75,17,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,0,12.0,45.01494146642021
27,35,0,0,35.0,0,8.0,35.0,45.84457933370977,43.55148658448151,43.833486378940925,44.2608,44.589652096342554,41.798583792289534,26,45.011106780982075,45.0,6,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,3,12.0,45.01494146642021
28,36,0,0,40.0,2,0.0,43.79056603773585,45.84457933370977,40.0,45.42930118512464,44.2608,47.32689987937274,44.834633385335415,15,45.011106780982075,43.36363636363637,6,44.204010462074976,44.678021787999306,40.0,2,43.903,4,12.0,43.91731575793889
29,38,0,0,49.0,0,5.0,49.0,45.84457933370977,49.0,45.42930118512464,45.402535657686215,44.589652096342554,41.798583792289534,30,45.011106780982075,40.666666666666664,1,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,1,1.0,45.01494146642021
30,40,0,0,52.0,0,8.0,52.0,45.84457933370977,52.0,45.42930118512464,44.2608,44.589652096342554,45.56938227394807,37,45.011106780982075,45.01910828025478,4,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,1,10.0,45.01494146642021
31,41,0,0,41.0,0,7.0,41.0,45.84457933370977,41.0,43.833486378940925,45.402535657686215,47.32689987937274,44.37430880476393,12,44.41663915483658,41.0,6,46.2707100591716,44.678021787999306,41.0,2,44.91439743052646,5,15.0,45.01494146642021
32,42,0,0,39.0,0,10.0,39.0,45.84457933370977,39.0,45.42930118512464,45.402535657686215,44.589652096342554,44.37430880476393,38,44.41663915483658,47.5,4,45.352,45.063919259882255,45.0592932721102,0,44.91439743052646,0,13.0,45.01494146642021
33,43,0,0,56.0,0,0.0,43.79056603773585,45.84457933370977,56.0,45.42930118512464,44.2608,49.012362637362635,44.834633385335415,65,45.011106780982075,49.0,1,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,0,12.0,43.91731575793889
34,44,0,0,49.0,0,12.0,49.0,45.84457933370977,49.0,43.833486378940925,44.2608,49.012362637362635,50.51219512195122,18,45.011106780982075,43.0,1,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,0,14.0,45.01494146642021
35,45,0,0,38.0,0,11.0,38.0,45.84457933370977,38.0,45.42930118512464,44.2608,43.20085836909871,41.798583792289534,47,45.011106780982075,46.25,1,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,2,9.0,43.91731575793889
36,46,0,0,43.0,2,17.0,43.0,45.84457933370977,43.0,45.42930118512464,44.2608,47.32689987937274,44.37430880476393,38,44.41663915483658,43.0,6,45.352,44.678021787999306,45.0592932721102,0,44.91439743052646,0,15.0,45.01494146642021
37,48,0,0,63.0,0,15.0,63.0,45.84457933370977,63.0,45.42930118512464,44.2608,49.012362637362635,50.51219512195122,10,45.011106780982075,47.0,1,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,0,11.0,45.01494146642021
38,49,0,0,52.0,0,0.0,43.79056603773585,45.84457933370977,52.0,43.833486378940925,44.2608,43.20085836909871,41.318820224719104,48,44.41663915483658,44.25,1,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,1,6.0,43.91731575793889
39,50,0,0,35.0,0,7.0,35.0,45.84457933370977,43.55148658448151,45.42930118512464,45.402535657686215,44.589652096342554,41.318820224719104,22,44.41663915483658,39.25,1,44.131749460043196,44.678021787999306,45.0592932721102,0,44.91439743052646,0,7.0,45.01494146642021
40,51,0,0,43.0,0,13.0,43.0,45.84457933370977,43.0,45.42930118512464,44.2608,44.589652096342554,46.86538461538461,40,45.011106780982075,43.0,1,45.33847850055127,44.678021787999306,45.0592932721102,0,44.91439743052646,0,8.0,45.01494146642021
41,52,0,0,41.0,0,10.0,41.0,45.84457933370977,43.55148658448151,43.833486378940925,44.2608,43.20085836909871,41.798583792289534,44,45.011106780982075,37.857142857142854,4,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,0,1.0,43.91731575793889
42,53,0,0,40.0,0,11.0,40.0,45.84457933370977,40.0,45.42930118512464,45.402535657686215,44.589652096342554,41.798583792289534,5,44.41663915483658,40.0,4,46.2707100591716,45.063919259882255,45.0592932721102,0,44.91439743052646,1,5.0,45.01494146642021
43,54,0,0,31.0,1,12.0,31.0,45.84457933370977,31.0,45.42930118512464,45.402535657686215,44.589652096342554,41.318820224719104,62,44.41663915483658,31.166666666666668,6,44.94965034965035,45.063919259882255,45.0592932721102,0,44.91439743052646,2,5.0,45.01494146642021
44,55,0,0,47.0,0,8.0,47.0,45.84457933370977,43.55148658448151,45.42930118512464,44.2608,43.20085836909871,41.318820224719104,35,44.41663915483658,49.57142857142857,6,44.204010462074976,44.678021787999306,47.0,2,44.91439743052646,5,8.0,45.01494146642021
45,56,0,0,53.0,0,11.0,53.0,45.84457933370977,53.0,45.42930118512464,45.402535657686215,47.32689987937274,45.56938227394807,36,45.011106780982075,42.0,10,44.94965034965035,45.063919259882255,45.0592932721102,0,44.91439743052646,0,15.0,45.01494146642021
46,57,0,0,39.0,3,7.0,39.0,45.84457933370977,39.0,45.42930118512464,44.2608,43.20085836909871,41.798583792289534,33,45.011106780982075,42.0,6,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,0,5.0,43.91731575793889
47,58,0,0,33.0,3,14.0,33.0,45.84457933370977,33.0,45.42930118512464,45.402535657686215,42.19285120532003,41.798583792289534,40,45.011106780982075,39.25,18,44.94965034965035,45.063919259882255,45.0592932721102,0,44.91439743052646,3,1.0,45.01494146642021
48,59,0,0,59.0,0,5.0,59.0,45.84457933370977,43.55148658448151,43.833486378940925,45.402535657686215,47.32689987937274,48.25988023952096,10,45.011106780982075,50.0,1,44.94965034965035,45.063919259882255,45.0592932721102,0,44.91439743052646,0,8.0,45.01494146642021
49,61,1,0,40.0,0,11.0,40.0,45.84457933370977,43.55148658448151,43.833486378940925,45.402535657686215,42.19285120532003,44.37430880476393,20,44.41663915483658,42.75,4,44.131749460043196,45.063919259882255,40.0,1,43.903,13,6.0,45.01494146642021
50,65,1,0,44.0,2,15.0,44.0,45.84457933370977,44.0,45.42930118512464,44.2608,43.20085836909871,44.834633385335415,37,45.011106780982075,44.0,1,44.204010462074976,44.678021787999306,44.0,1,44.91439743052646,1,1.0,45.01494146642021
51,66,0,0,56.0,0,16.0,56.0,45.84457933370977,56.0,45.42930118512464,45.402535657686215,44.589652096342554,46.86538461538461,30,45.011106780982075,50.666666666666664,13,44.94965034965035,45.063919259882255,45.0592932721102,0,44.91439743052646,0,6.0,45.01494146642021
52,67,1,1,45.0,1,14.0,45.0,45.84457933370977,45.0,45.42930118512464,44.2608,47.32689987937274,48.25988023952096,50,45.011106780982075,45.0,6,45.352,44.678021787999306,45.0,2,43.903,0,13.0,45.01494146642021
53,69,0,0,48.0,0,11.0,43.79056603773585,45.84457933370977,48.0,45.42930118512464,45.402535657686215,44.589652096342554,45.56938227394807,14,44.41663915483658,54.0,13,46.2707100591716,45.063919259882255,48.0,5,44.91439743052646,1,10.0,45.01494146642021
54,70,1,1,44.0,2,11.0,44.0,37.85701021355617,43.55148658448151,43.833486378940925,45.402535657686215,44.589652096342554,41.798583792289534,24,45.011106780982075,47.666666666666664,4,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,0,10.0,45.01494146642021
55,71,1,0,33.0,4,12.0,33.0,45.84457933370977,33.0,45.42930118512464,44.2608,43.20085836909871,44.834633385335415,46,45.011106780982075,39.0,13,44.204010462074976,44.678021787999306,33.0,3,44.91439743052646,0,1.0,45.01494146642021
56,72,0,0,32.0,3,14.0,32.0,45.84457933370977,32.0,45.42930118512464,44.2608,43.20085836909871,45.56938227394807,20,45.011106780982075,43.285714285714285,4,44.204010462074976,44.678021787999306,45.0592932721102,0,43.903,0,8.0,45.01494146642021
57,73,1,0,34.0,0,8.0,34.0,45.84457933370977,34.0,43.833486378940925,44.2608,42.19285120532003,41.798583792289534,13,45.011106780982075,34.0,4,45.33847850055127,44.678021787999306,34.0,3,43.903,2,10.0,45.01494146642021
58,74,0,1,38.0,4,12.0,38.0,45.84457933370977,38.0,45.42930118512464,44.2608,42.19285120532003,44.834633385335415,35,45.011106780982075,43.333333333333336,10,44.131749460043196,44.678021787999306,45.0592932721102,0,44.91439743052646,2,1.0,45.01494146642021
59,77,1,2,43.0,3,11.0,43.0,37.85701021355617,43.55148658448151,43.833486378940925,44.2608,47.32689987937274,46.86538461538461,29,45.011106780982075,48.4,1,45.33847850055127,44.678021787999306,43.0,3,44.91439743052646,0,15.0,45.01494146642021
60,78,0,0,49.0,0,9.0,43.79056603773585,45.84457933370977,43.55148658448151,43.833486378940925,45.402535657686215,49.012362637362635,44.37430880476393,31,44.41663915483658,49.0,3,46.2707100591716,44.678021787999306,49.0,2,43.903,2,18.0,45.01494146642021
61,79,0,0,46.0,0,10.0,46.0,45.84457933370977,43.55148658448151,43.833486378940925,44.2608,44.589652096342554,46.86538461538461,13,45.011106780982075,46.666666666666664,3,44.94965034965035,44.678021787999306,45.0592932721102,0,43.903,2,11.0,45.01494146642021
62,80,0,0,45.0,1,11.0,45.0,45.84457933370977,45.0,45.42930118512464,44.2608,49.012362637362635,48.25988023952096,28,45.011106780982075,42.6,1,44.204010462074976,44.678021787999306,45.0,3,44.91439743052646,6,20.0,45.01494146642021
63,81,0,0,46.0,0,14.0,43.79056603773585,45.84457933370977,46.0,43.833486378940925,45.402535657686215,47.32689987937274,44.37430880476393,22,44.41663915483658,37.0,4,46.2707100591716,45.063919259882255,45.0592932721102,0,43.903,1,12.0,45.01494146642021
64,82,0,0,45.0,0,11.0,45.0,45.84457933370977,45.0,45.42930118512464,45.402535657686215,47.32689987937274,44.37430880476393,30,44.41663915483658,40.25,13,44.131749460043196,45.063919259882255,45.0,2,44.91439743052646,0,8.0,45.01494146642021
65,84,0,0,63.0,0,9.0,63.0,45.84457933370977,43.55148658448151,43.833486378940925,44.2608,49.012362637362635,50.51219512195122,11,45.011106780982075,56.0,1,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,0,18.0,45.01494146642021
66,85,0,0,44.0,0,9.0,44.0,45.84457933370977,44.0,45.42930118512464,44.2608,44.589652096342554,45.56938227394807,9,45.011106780982075,46.0,6,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,0,1.0,45.01494146642021
67,86,1,1,45.0,2,11.0,45.0,37.85701021355617,43.55148658448151,43.833486378940925,45.402535657686215,44.589652096342554,45.56938227394807,25,45.011106780982075,45.01910828025478,1,44.94965034965035,45.063919259882255,45.0592932721102,0,44.91439743052646,2,11.0,45.01494146642021
68,88,0,0,48.0,0,0.0,43.79056603773585,45.84457933370977,48.0,45.42930118512464,44.2608,43.20085836909871,44.834633385335415,50,45.011106780982075,47.75,3,45.33847850055127,44.678021787999306,55.0,2,44.91439743052646,3,8.0,45.01494146642021
69,89,1,1,37.0,2,12.0,43.79056603773585,45.84457933370977,37.0,45.42930118512464,44.2608,44.589652096342554,44.37430880476393,43,44.41663915483658,38.1764705882353,1,44.204010462074976,44.678021787999306,38.5,1,44.91439743052646,1,3.0,45.01494146642021
70,90,0,0,35.0,0,11.0,35.0,45.84457933370977,43.55148658448151,43.833486378940925,44.2608,42.19285120532003,41.798583792289534,49,45.011106780982075,40.0,10,45.33847850055127,44.678021787999306,45.0592932721102,0,44.91439743052646,0,1.0,45.01494146642021
71,91,1,0,48.0,0,12.0,48.0,45.84457933370977,48.0,45.42930118512464,45.402535657686215,43.20085836909871,41.798583792289534,14,44.41663915483658,44.1,13,44.131749460043196,44.678021787999306,48.0,1,44.91439743052646,4,1.0,45.01494146642021
72,93,0,0,49.0,0,0.0,43.79056603773585,45.84457933370977,49.0,45.42930118512464,44.2608,47.32689987937274,45.56938227394807,42,45.011106780982075,48.96774193548387,10,44.204010462074976,44.678021787999306,49.0,1,44.91439743052646,6,14.0,45.01494146642021
73,94,0,0,44.0,2,15.0,44.0,37.85701021355617,44.0,43.833486378940925,44.2608,43.20085836909871,44.37430880476393,35,44.41663915483658,51.25,10,45.33847850055127,44.678021787999306,45.0592932721102,0,44.91439743052646,0,1.0,43.91731575793889
74,95,0,0,50.0,0,13.0,50.0,45.84457933370977,50.0,43.833486378940925,44.2608,49.012362637362635,48.25988023952096,42,45.011106780982075,46.0,1,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,0,14.0,43.91731575793889
75,96,0,0,30.0,1,10.0,30.0,37.85701021355617,30.0,43.833486378940925,44.2608,42.19285120532003,44.37430880476393,50,45.011106780982075,46.6,13,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,0,6.0,43.91731575793889
76,97,0,0,54.0,0,11.0,54.0,45.84457933370977,54.0,45.42930118512464,45.402535657686215,44.589652096342554,46.86538461538461,61,45.011106780982075,47.166666666666664,6,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,0,11.0,45.01494146642021
77,99,1,0,53.0,0,6.0,53.0,45.84457933370977,53.0,45.42930118512464,44.2608,43.20085836909871,44.37430880476393,32,44.41663915483658,43.625,1,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,4,1.0,45.01494146642021
78,100,0,0,53.0,0,13.0,53.0,45.84457933370977,53.0,43.833486378940925,44.2608,44.589652096342554,46.86538461538461,21,45.011106780982075,48.285714285714285,1,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,0,8.0,45.01494146642021
79,101,0,0,29.0,1,10.0,29.0,37.85701021355617,29.0,43.833486378940925,45.402535657686215,43.20085836909871,45.56938227394807,15,45.011106780982075,41.6,6,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,0,1.0,45.01494146642021
80,102,0,0,58.0,0,11.0,58.0,45.84457933370977,43.55148658448151,43.833486378940925,45.402535657686215,47.32689987937274,48.25988023952096,23,45.011106780982075,44.833333333333336,6,44.131749460043196,44.678021787999306,45.0592932721102,0,44.91439743052646,0,8.0,45.01494146642021
81,103,0,0,55.0,0,7.0,55.0,45.84457933370977,55.0,45.42930118512464,44.2608,47.32689987937274,48.25988023952096,5,45.011106780982075,48.333333333333336,6,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,0,13.0,45.01494146642021
82,104,0,0,55.0,0,11.0,55.0,45.84457933370977,55.0,45.42930118512464,45.402535657686215,44.589652096342554,44.37430880476393,21,44.41663915483658,38.5,1,44.131749460043196,45.063919259882255,53.5,2,44.91439743052646,6,11.0,45.01494146642021
83,105,0,0,56.0,0,8.0,56.0,45.84457933370977,56.0,45.42930118512464,44.2608,43.20085836909871,41.798583792289534,28,45.011106780982075,48.0,4,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,0,8.0,43.91731575793889
84,108,0,0,34.0,0,11.0,34.0,45.84457933370977,43.55148658448151,43.833486378940925,45.402535657686215,47.32689987937274,48.25988023952096,36,45.011106780982075,48.42857142857143,1,45.352,45.063919259882255,34.0,2,44.91439743052646,3,15.0,45.01494146642021
85,109,1,0,34.0,3,0.0,43.79056603773585,45.84457933370977,34.0,45.42930118512464,44.2608,43.20085836909871,44.834633385335415,25,45.011106780982075,38.2,9,44.204010462074976,44.678021787999306,34.0,2,44.91439743052646,2,1.0,45.01494146642021
86,110,0,0,36.0,0,11.0,36.0,45.84457933370977,44.5,45.42930118512464,45.402535657686215,47.32689987937274,45.56938227394807,24,45.011106780982075,40.75,7,44.94965034965035,45.063919259882255,36.0,3,43.903,4,17.0,45.01494146642021
87,111,1,0,41.0,0,10.0,41.0,45.84457933370977,41.0,45.42930118512464,45.402535657686215,47.32689987937274,48.25988023952096,59,45.011106780982075,42.75,4,44.94965034965035,45.063919259882255,45.0592932721102,0,44.91439743052646,1,9.0,45.01494146642021
88,112,1,0,46.0,0,7.0,43.79056603773585,45.84457933370977,43.55148658448151,43.833486378940925,45.402535657686215,47.32689987937274,44.37430880476393,17,44.41663915483658,41.5,13,46.2707100591716,45.063919259882255,51.5,3,44.91439743052646,6,17.0,45.01494146642021
89,114,0,0,42.0,0,9.0,42.0,45.84457933370977,42.0,45.42930118512464,45.402535657686215,44.589652096342554,44.37430880476393,18,44.41663915483658,42.0,13,46.2707100591716,45.063919259882255,45.0592932721102,0,44.91439743052646,0,14.0,45.01494146642021
90,115,0,1,38.0,3,16.0,38.0,45.84457933370977,38.0,45.42930118512464,45.402535657686215,42.19285120532003,41.798583792289534,26,45.011106780982075,48.0,1,44.131749460043196,45.063919259882255,45.0592932721102,0,44.91439743052646,0,8.0,43.91731575793889
91,116,1,0,33.0,4,0.0,43.79056603773585,37.85701021355617,43.55148658448151,43.833486378940925,45.402535657686215,43.20085836909871,41.318820224719104,14,44.41663915483658,34.25,1,44.94965034965035,45.063919259882255,33.0,1,44.91439743052646,2,5.0,45.01494146642021
92,117,1,0,37.0,0,0.0,43.79056603773585,45.84457933370977,37.0,45.42930118512464,44.2608,44.589652096342554,41.318820224719104,48,44.41663915483658,46.5,7,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,3,6.0,45.01494146642021
93,118,0,1,42.0,1,9.0,42.0,45.84457933370977,42.0,45.42930118512464,44.2608,47.32689987937274,48.25988023952096,63,45.011106780982075,44.0,1,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,2,14.0,45.01494146642021
94,119,1,0,47.0,0,11.0,42.0,45.84457933370977,47.0,45.42930118512464,44.2608,44.589652096342554,45.56938227394807,50,45.011106780982075,47.166666666666664,1,44.204010462074976,44.678021787999306,47.0,2,44.91439743052646,0,10.0,45.01494146642021
95,121,0,0,52.0,0,9.0,52.0,45.84457933370977,52.0,43.833486378940925,44.2608,44.589652096342554,44.37430880476393,36,44.41663915483658,42.5,1,44.94965034965035,44.678021787999306,45.0592932721102,0,44.91439743052646,3,10.0,43.91731575793889
96,122,0,0,43.0,0,11.0,43.0,45.84457933370977,43.0,43.833486378940925,45.402535657686215,47.32689987937274,45.56938227394807,8,44.41663915483658,43.0,16,46.2707100591716,44.678021787999306,43.0,1,44.91439743052646,0,1.0,45.01494146642021
97,124,0,0,66.0,1,17.0,53.5,45.84457933370977,66.0,45.42930118512464,45.402535657686215,47.32689987937274,45.56938227394807,23,45.011106780982075,49.285714285714285,7,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,0,16.0,45.01494146642021
98,127,1,0,52.0,0,7.0,52.0,45.84457933370977,52.0,45.42930118512464,45.402535657686215,42.19285120532003,44.37430880476393,33,44.41663915483658,53.888888888888886,4,44.131749460043196,45.063919259882255,52.0,3,44.91439743052646,1,5.0,45.01494146642021
99,130,0,1,38.0,1,7.0,43.79056603773585,45.84457933370977,43.55148658448151,45.42930118512464,44.2608,43.20085836909871,41.318820224719104,40,45.011106780982075,39.75,4,45.33847850055127,44.678021787999306,45.0592932721102,0,44.91439743052646,0,10.0,43.91731575793889
100,132,0,0,47.0,0,14.0,43.79056603773585,45.84457933370977,47.0,45.42930118512464,45.402535657686215,44.589652096342554,46.86538461538461,48,45.011106780982075,42.5,1,45.352,45.063919259882255,45.0592932721102,0,44.91439743052646,0,13.0,45.01494146642021
101,133,0,0,37.0,0,12.0,37.0,45.84457933370977,37.0,45.42930118512464,45.402535657686215,44.589652096342554,44.37430880476393,14,44.41663915483658,45.333333333333336,1,45.352,44.678021787999306,45.0592932721102,0,44.91439743052646,0,8.0,45.01494146642021
102,134,0,0,47.0,0,13.0,47.0,45.84457933370977,47.0,45.42930118512464,45.402535657686215,44.589652096342554,41.798583792289534,33,44.41663915483658,47.0,6,46.2707100591716,45.063919259882255,45.0592932721102,0,44.91439743052646,0,8.0,45.01494146642021
103,136,0,1,61.0,2,17.0,61.0,45.84457933370977,61.0,45.42930118512464,44.2608,47.32689987937274,46.86538461538461,35,45.011106780982075,47.666666666666664,1,45.33847850055127,44.678021787999306,45.0592932721102,0,44.91439743052646,0,21.0,45.01494146642021
104,137,1,0,41.0,1,8.0,41.0,37.85701021355617,43.55148658448151,43.833486378940925,44.2608,47.32689987937274,46.86538461538461,34,44.41663915483658,41.0,3,44.131749460043196,44.678021787999306,45.0592932721102,0,44.91439743052646,2,18.0,45.01494146642021
